index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
181,131,2,2,1,1,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
182,117,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
183,132,2,2,1,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4
184,119,2,2,1,1,4,4,4,5,4,4,4,4,4,4,4,2,4,3,4,3,3,2,3,4
185,43,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
186,66,2,2,1,2,2,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
187,70,1,1,1,2,5,5,5,3,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5
188,229,2,2,1,1,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,5,5,4
189,104,2,2,1,2,4,5,5,5,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,3
190,88,2,2,1,2,4,4,4,4,3,4,5,5,4,4,3,3,3,3,3,3,4,4,4,3
191,222,2,1,1,2,5,3,4,5,5,3,4,4,3,2,3,4,2,2,3,4,4,4,5,5
192,106,2,2,1,2,4,5,3,4,4,2,4,4,4,4,5,4,4,4,4,5,5,5,5,5
193,41,2,1,1,1,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,2
194,81,2,1,1,2,2,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
195,74,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
196,58,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
197,171,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
198,108,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
199,46,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
200,173,2,2,1,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,5,5
201,230,2,2,1,2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3
202,71,1,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3
203,141,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
204,141,2,1,1,2,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
205,80,1,2,1,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
206,261,2,2,1,2,2,1,2,3,1,4,1,4,4,4,4,4,3,3,1,4,5,4,2,4
207,222,2,2,1,2,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,5,5,4,3
208,115,2,3,1,1,4,4,5,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4
209,86,2,2,1,2,4,4,4,3,3,4,3,4,3,2,3,5,5,4,3,3,3,3,3,3
210,67,2,2,1,1,3,4,4,3,3,4,4,4,4,3,3,2,3,3,2,3,3,3,3,3
211,191,2,2,1,2,2,4,4,4,2,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4
212,249,1,2,1,2,4,4,4,4,4,3,3,4,5,5,4,4,3,4,4,4,4,4,4,3
213,48,1,2,1,2,5,5,5,5,5,5,4,3,3,4,2,3,2,2,1,1,1,3,2,3
214,151,2,2,1,2,4,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,4,5,5,3
215,395,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3
216,109,2,1,1,1,4,5,5,3,5,5,5,5,4,4,4,2,2,2,4,4,4,4,3,4
217,162,1,2,1,2,2,4,4,2,4,4,4,4,3,3,4,3,3,3,4,3,2,2,2,3
218,97,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
219,168,2,1,1,1,5,5,3,4,4,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4
220,85,2,1,1,1,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4
221,487,2,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
222,85,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3
223,141,2,2,1,1,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
224,153,2,2,1,1,4,4,5,3,2,4,3,3,3,3,3,4,4,3,3,4,5,4,4,4
225,226,2,2,1,1,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
226,453,2,2,1,1,3,4,3,4,1,4,4,3,3,4,3,4,4,3,4,4,3,4,4,3
227,68,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3
228,61,2,2,1,2,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4
229,186,2,2,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2
230,119,2,2,1,2,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4
231,95,2,2,1,2,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,5,5,4
232,104,2,2,1,2,3,5,5,3,3,4,4,5,4,4,3,4,4,4,4,4,4,3,3,3
233,56,1,2,1,2,3,3,3,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
