index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
172,77,2,1,1,1,4,4,5,5,3,3,3,5,5,5,3,3,2,2,3,3,3,3,3,3,False,False,False,False
173,104,2,2,1,2,4,3,4,3,2,3,4,4,4,4,4,3,4,3,2,4,3,4,4,4,False,False,False,False
174,247,1,2,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,False,False,False,False
175,106,1,2,1,2,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
176,118,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
177,132,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
178,151,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
179,147,2,2,1,2,4,3,5,4,5,4,5,4,3,4,5,4,4,4,4,4,4,4,4,4,False,False,False,False
180,296,1,2,1,1,4,3,3,1,1,1,1,5,4,4,4,4,4,5,5,5,5,5,5,4,False,False,False,False
181,131,2,2,1,1,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,False,False,False,False
182,117,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
183,132,2,2,1,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,False,False,False,False
184,119,2,2,1,1,4,4,4,5,4,4,4,4,4,4,4,2,4,3,4,3,3,2,3,4,False,False,False,False
185,43,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
186,66,2,2,1,2,2,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
187,70,1,1,1,2,5,5,5,3,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
188,229,2,2,1,1,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,5,5,4,False,False,False,False
189,104,2,2,1,2,4,5,5,5,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,3,False,False,False,False
190,88,2,2,1,2,4,4,4,4,3,4,5,5,4,4,3,3,3,3,3,3,4,4,4,3,False,False,False,False
191,222,2,1,1,2,5,3,4,5,5,3,4,4,3,2,3,4,2,2,3,4,4,4,5,5,False,False,False,False
192,106,2,2,1,2,4,5,3,4,4,2,4,4,4,4,5,4,4,4,4,5,5,5,5,5,False,False,False,False
193,41,2,1,1,1,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,2,False,True,False,False
194,81,2,1,1,2,2,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
195,74,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
196,58,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
197,171,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
198,108,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
199,46,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
200,173,2,2,1,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,5,5,False,False,False,False
201,230,2,2,1,2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,False,False,False,False
202,71,1,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,False,False,False,False
203,141,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
204,141,2,1,1,2,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
205,80,1,2,1,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
206,261,2,2,1,2,2,1,2,3,1,4,1,4,4,4,4,4,3,3,1,4,5,4,2,4,False,False,False,False
207,222,2,2,1,2,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,5,5,4,3,False,False,False,False
208,115,2,3,1,1,4,4,5,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,False,False,False,False
209,86,2,2,1,2,4,4,4,3,3,4,3,4,3,2,3,5,5,4,3,3,3,3,3,3,False,False,False,False
210,67,2,2,1,1,3,4,4,3,3,4,4,4,4,3,3,2,3,3,2,3,3,3,3,3,False,False,False,False
211,191,2,2,1,2,2,4,4,4,2,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4,False,False,False,False
212,249,1,2,1,2,4,4,4,4,4,3,3,4,5,5,4,4,3,4,4,4,4,4,4,3,False,False,False,False
213,48,1,2,1,2,5,5,5,5,5,5,4,3,3,4,2,3,2,2,1,1,1,3,2,3,False,True,False,False
214,151,2,2,1,2,4,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,4,5,5,3,False,False,False,False
215,395,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,False,False,False,False
216,109,2,1,1,1,4,5,5,3,5,5,5,5,4,4,4,2,2,2,4,4,4,4,3,4,False,False,False,False
217,162,1,2,1,2,2,4,4,2,4,4,4,4,3,3,4,3,3,3,4,3,2,2,2,3,False,False,False,False
218,97,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
219,168,2,1,1,1,5,5,3,4,4,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,False,False,False,False
